Year #,Calendar Year,Player,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
1,1991,Todd Martin,123,55,0.58,0.72,0.54,102,0.62,209,0.81,0.65,0.29,0.52,103,0.43,206,0.21,0.38,0.51
2,1992,Todd Martin,241,92,0.64,0.7,0.52,257,0.6,490,0.79,0.64,0.3,0.53,319,0.4,486,0.27,0.4,0.52
3,1993,Todd Martin,518,149,0.63,0.74,0.51,405,0.66,823,0.83,0.65,0.29,0.53,454,0.45,815,0.25,0.39,0.52
4,1994,Todd Martin,633,183,0.61,0.75,0.52,439,0.65,929,0.84,0.66,0.29,0.55,577,0.39,906,0.25,0.39,0.53
5,1995,Todd Martin,602,199,0.6,0.77,0.51,361,0.63,804,0.84,0.67,0.27,0.53,444,0.41,802,0.22,0.38,0.52
6,1996,Todd Martin,643,187,0.62,0.76,0.51,440,0.68,903,0.84,0.67,0.29,0.54,545,0.42,887,0.26,0.4,0.53
7,1997,Todd Martin,189,76,0.59,0.77,0.52,90,0.61,236,0.85,0.66,0.26,0.5,126,0.39,241,0.2,0.36,0.51
8,1998,Todd Martin,634,211,0.62,0.77,0.51,328,0.63,797,0.85,0.67,0.28,0.53,440,0.41,791,0.23,0.38,0.52
9,1999,Todd Martin,650,225,0.63,0.78,0.5,317,0.64,810,0.86,0.68,0.28,0.5,456,0.36,809,0.2,0.37,0.52
10,2000,Todd Martin,320,95,0.62,0.77,0.5,158,0.66,368,0.86,0.67,0.27,0.52,218,0.37,373,0.22,0.37,0.52
11,2001,Todd Martin,263,132,0.61,0.74,0.49,194,0.59,376,0.79,0.64,0.26,0.51,193,0.39,376,0.2,0.36,0.5
12,2002,Todd Martin,386,157,0.61,0.76,0.5,261,0.68,518,0.84,0.66,0.25,0.49,242,0.41,514,0.19,0.35,0.51
13,2003,Todd Martin,260,131,0.6,0.76,0.5,173,0.64,384,0.84,0.66,0.3,0.49,182,0.43,385,0.2,0.38,0.52
14,2004,Todd Martin,263,102,0.63,0.75,0.51,172,0.63,379,0.83,0.66,0.26,0.49,159,0.34,375,0.14,0.35,0.5
1,1992,Yevgeny Kafelnikov,13,10,0.56,0.69,0.5,28,0.57,46,0.74,0.6,0.21,0.45,9,0.44,44,0.09,0.3,0.46
2,1993,Yevgeny Kafelnikov,56,70,0.56,0.69,0.49,131,0.55,211,0.72,0.6,0.28,0.54,128,0.44,209,0.27,0.39,0.5
3,1994,Yevgeny Kafelnikov,335,270,0.59,0.7,0.51,636,0.62,1060,0.77,0.62,0.32,0.53,713,0.43,1045,0.3,0.41,0.52
4,1995,Yevgeny Kafelnikov,486,310,0.55,0.74,0.51,514,0.62,1067,0.82,0.64,0.31,0.54,705,0.44,1037,0.3,0.41,0.52
5,1996,Yevgeny Kafelnikov,652,373,0.57,0.76,0.52,581,0.64,1222,0.83,0.65,0.3,0.52,755,0.43,1194,0.27,0.4,0.52
6,1997,Yevgeny Kafelnikov,413,321,0.55,0.73,0.5,504,0.61,953,0.79,0.63,0.28,0.54,620,0.41,931,0.27,0.4,0.51
7,1998,Yevgeny Kafelnikov,481,366,0.54,0.75,0.5,542,0.61,988,0.79,0.63,0.28,0.53,615,0.41,969,0.26,0.39,0.51
8,1999,Yevgeny Kafelnikov,531,373,0.56,0.74,0.5,561,0.58,1089,0.79,0.64,0.29,0.54,731,0.41,1067,0.28,0.4,0.52
9,2000,Yevgeny Kafelnikov,471,390,0.55,0.72,0.5,687,0.61,1161,0.77,0.62,0.3,0.51,702,0.45,1134,0.28,0.4,0.51
10,2001,Yevgeny Kafelnikov,669,476,0.52,0.75,0.51,654,0.63,1216,0.8,0.64,0.3,0.52,795,0.42,1205,0.28,0.4,0.52
11,2002,Yevgeny Kafelnikov,421,304,0.54,0.75,0.5,437,0.62,765,0.78,0.63,0.28,0.49,411,0.43,757,0.23,0.37,0.51
12,2003,Yevgeny Kafelnikov,212,172,0.59,0.7,0.5,368,0.55,655,0.75,0.62,0.35,0.54,458,0.41,646,0.29,0.43,0.52
